date,price,bedrooms,bathrooms,floors
14-May,342000,3,2,1st floor
14-May,900000,3,1,1st floor
14-May,531000,2,3,2nd floor
14-May,397000,4,2,1st floor
14-May,615000,2,1,1st floor
14-May,252350,3,2,1st floor
14-May,350000,1,1,1st floor
14-May,592500,2,2,1.5 floor
14-May,475000,2,1,1st floor
14-May,325000,3,1,1st floor
14-May,460000,3,1,1.5 floor
14-May,218000,3,1,1st floor
14-May,468000,2,1,1st floor
14-May,529000,3,1,1.5 floor
14-May,310000,3,1,1.5 floor
14-May,550000,4,1,1st floor
14-May,215000,2,1,1st floor
14-May,485000,4,1,1.5 floor
14-May,385000,3,1,1st floor
14-Jun,315000,3,1,1st floor
14-Jun,279950,3,2,1st floor
14-Jun,410000,3,1,1st floor
14-Jun,571000,4,2,1.5 floor
14-Jun,1030000,5,4,2nd floor
14-Jun,371500,3,2,1st floor
14-Jun,589000,4,3,2nd floor
14-Jun,397500,3,2,1st floor
14-Jun,1600000,6,5,2nd floor
14-Jun,210000,3,2,1st floor
14-Jun,205425,2,1,1st floor
14-Jun,365000,4,2,1st floor
14-Jun,290900,2,2,2nd floor
14-Jun,3080000,4,5,1st floor
14-Jun,890000,4,1,2nd floor
14-Jun,365500,3,2,1st floor
14-Jun,665000,2,1,1st floor
14-Jul,314500,3,2,1st floor
14-Jul,940000,4,2,2nd floor
14-Jul,382500,2,1,1st floor
14-Jul,438000,2,2,3rd floor
14-Jul,550000,3,2,2nd floor
14-Jul,641000,2,1,1st floor
14-Jul,238000,4,1,1.5 floor
14-Jul,470000,3,1,1st floor
14-Jul,517534,2,1,1st floor
14-Jul,464000,6,3,2nd floor
14-Jul,375000,2,1,1st floor
14-Jul,230000,3,2,1st floor
14-Jul,207950,2,2,1st floor
14-Jul,791500,4,2,1.5 floor
14-Jul,548000,2,1,1st floor
14-Jul,165000,4,1,1st floor
14-Jul,215000,3,1,1st floor
14-Jul,309000,3,1,1st floor
14-Jul,295000,3,2,1st floor
14-Jul,395000,3,2,2nd floor
14-Aug,950000,3,3,2nd floor
14-Aug,450000,3,2,3rd floor
14-Aug,420000,3,2,1st floor
14-Aug,500000,2,1,1st floor
14-Aug,415000,2,1,1st floor
14-Aug,289500,3,1,1st floor
14-Aug,214000,3,1,1st floor
14-Aug,275000,2,1,1st floor
14-Aug,205000,3,1,1st floor
14-Aug,532170,3,2,2nd floor
14-Aug,265000,3,2,1st floor
14-Aug,204000,3,1,1st floor
14-Aug,480000,2,1,1st floor
14-Aug,261000,2,1,1st floor
14-Aug,232000,2,1,1st floor
14-Aug,740000,4,2,1.5 floor
14-Aug,190000,2,1,1st floor
14-Sep,988000,4,3,2nd floor
14-Sep,228000,3,1,1st floor
14-Sep,260000,3,2,1st floor
14-Sep,290000,3,1,1st floor
14-Sep,542000,2,1,1st floor
14-Sep,236000,3,1,1st floor
14-Sep,285000,3,1,1st floor
14-Oct,210000,2,1,1st floor
14-Oct,580000,4,3,2nd floor
14-Oct,420000,4,1,1.5 floor
14-Oct,1450000,3,3,2nd floor
14-Oct,210000,3,1,1st floor
14-Oct,515000,4,3,2nd floor
14-Oct,206600,3,2,1st floor
14-Oct,610000,3,1,1.5 floor
14-Oct,555000,3,2,1.5 floor
14-Oct,275000,3,3,1st floor
14-Oct,685000,3,1,2nd floor
14-Oct,355000,2,1,1st floor
14-Oct,328500,4,3,2nd floor
14-Oct,460000,4,3,1st floor
14-Oct,308000,3,1,1.5 floor
14-Oct,258000,5,2,1st floor
