sex,age,guardian,traveltime,studytime,freetime,health,grade,count
F,18,mother,2,2,3,3,0,1
F,17,father,1,2,3,3,9,1
F,15,mother,1,2,3,3,12,1
F,15,mother,1,3,2,5,14,1
F,16,father,1,2,3,5,11,1
M,16,mother,1,2,4,5,12,1
M,16,mother,1,2,4,3,13,1
F,17,mother,2,2,1,1,10,1
M,15,mother,1,2,2,1,15,1
M,15,mother,1,2,5,5,12,1
F,15,mother,1,2,3,2,14,1
F,15,father,3,3,2,4,10,1
M,15,father,1,1,3,5,12,1
M,15,mother,2,2,4,3,12,1
M,15,other,1,3,5,3,14,1
F,16,mother,1,1,4,2,17,1
F,16,mother,1,3,2,2,13,1
F,16,mother,3,2,3,4,13,1
M,17,mother,1,1,5,5,8,1
M,16,father,1,1,1,5,12,1
M,15,mother,1,2,4,1,12,1
M,15,father,1,1,4,5,11,1
M,16,mother,1,2,5,5,12,1
M,16,mother,2,2,4,5,10,1
F,15,mother,1,3,3,5,10,1
F,16,mother,1,1,2,5,10,1
M,15,mother,1,1,2,5,11,1
M,15,mother,1,1,2,1,11,1
M,16,mother,1,2,3,5,12,1
M,16,mother,1,2,4,5,12,1
M,15,mother,1,2,4,5,10,1
M,15,mother,2,2,3,5,15,1
M,15,mother,1,2,5,5,13,1
M,15,mother,1,2,3,2,13,1
M,16,mother,1,1,4,5,12,1
F,15,father,2,1,5,5,11,1
M,15,mother,1,3,4,4,14,1
M,16,mother,2,3,4,5,13,1
F,15,mother,1,3,3,5,11,1
F,15,mother,1,1,3,2,14,1
F,16,mother,2,2,3,3,11,1
M,15,other,1,1,4,5,10,1
M,15,father,1,2,3,5,14,1
M,15,father,1,1,4,1,9,1
F,16,father,2,2,3,5,10,1
F,15,mother,1,2,2,5,10,1
F,16,mother,1,2,3,3,13,1
M,16,mother,1,4,2,2,17,1
M,15,mother,1,2,3,5,11,1
F,15,father,1,2,4,3,13,1
F,16,mother,3,2,3,4,14,1
F,15,mother,1,2,3,5,16,1
M,15,father,2,1,5,5,10,1
F,15,mother,1,1,3,5,13,1
F,15,mother,1,1,3,1,13,1
F,16,mother,1,2,3,2,12,1
F,15,mother,1,2,3,1,15,1
M,15,mother,1,2,2,5,15,1
M,15,father,1,2,3,5,14,1
F,16,mother,1,2,2,5,16,1
F,16,mother,1,2,4,4,17,1
F,16,father,4,1,5,5,10,1
F,16,father,1,2,4,1,13,1
F,16,mother,1,3,4,4,14,1
F,15,father,1,2,4,2,13,1
F,16,mother,3,2,4,1,16,1
M,15,mother,1,4,3,3,11,1
F,16,mother,1,4,3,5,10,1
F,15,mother,2,2,1,4,11,1
F,15,father,2,4,4,3,15,1
M,16,father,2,4,3,5,13,1
M,15,mother,1,4,3,3,11,1
F,15,mother,1,2,3,5,13,1
M,16,mother,1,1,3,5,13,1
F,16,mother,1,2,3,5,11,1
M,15,mother,1,2,3,5,11,1
M,15,mother,2,4,4,1,12,1
F,16,mother,1,4,2,3,13,1
M,17,mother,2,1,5,3,9,1
F,16,mother,1,2,4,3,12,1
M,15,father,1,1,2,3,11,1
M,15,mother,1,3,3,5,10,1
F,15,mother,1,2,4,5,12,1
M,15,mother,2,2,3,4,13,1
F,15,father,1,2,3,4,13,1
F,15,father,2,2,4,5,12,1
F,16,mother,1,2,3,2,13,1
F,15,mother,1,3,3,1,15,1
M,16,father,2,2,4,3,12,1
