State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
Nevada,11308.47178,Basic,College,Unemployed,F,0,Single,66,4,83,2,Personal Auto,Offer3,Branch,316.8,Four-Door Car,Medsize
California,3350.687339,Extended,Bachelor,Employed,F,94395,Married,83,23,1,1,Personal Auto,Offer2,Web,582.690575,Four-Door Car,Medsize
Washington,5021.150845,Extended,College,Employed,F,61987,Married,125,24,4,1,Personal Auto,Offer2,Branch,723.301363,SUV,Medsize
Arizona,3508.92537,Extended,College,Unemployed,F,0,Single,97,19,18,1,Personal Auto,Offer1,Agent,698.4,Four-Door Car,Small
California,10581.275,Extended,College,Employed,F,42513,Married,133,0,44,3,Corporate Auto,Offer1,Agent,628.207511,Sports Car,Small
California,4605.036646,Basic,College,Medical Leave,F,22571,Single,63,29,51,9,Corporate Auto,Offer2,Web,302.4,Four-Door Car,Large
Washington,3939.00637,Extended,Bachelor,Employed,F,60021,Married,99,12,28,1,Corporate Auto,Offer2,Agent,882.871945,Four-Door Car,Small
Arizona,7590.913301,Basic,Bachelor,Employed,F,52348,Divorced,65,33,18,2,Personal Auto,Offer3,Branch,312,Two-Door Car,Medsize
Washington,8018.503854,Basic,Bachelor,Employed,F,58843,Single,68,1,96,2,Corporate Auto,Offer3,Call Center,200.490816,Two-Door Car,Large
Nevada,3554.845264,Extended,Master,Employed,F,58557,Married,88,4,83,1,Corporate Auto,Offer1,Branch,55.510526,Four-Door Car,Large
Arizona,5554.826011,Basic,Master,Employed,F,52984,Married,69,12,81,5,Personal Auto,Offer1,Web,167.667603,Two-Door Car,Medsize
Arizona,27789.69235,Extended,Bachelor,Employed,F,33806,Divorced,89,32,59,2,Corporate Auto,Offer2,Web,395.729716,Four-Door Car,Medsize
California,2248.449633,Basic,Bachelor,Retired,F,24910,Single,63,7,63,1,Corporate Auto,Offer1,Branch,347.857619,Four-Door Car,Medsize
Arizona,7218.375778,Extended,Master,Employed,F,45356,Single,90,31,30,3,Personal Auto,Offer2,Call Center,462.043003,Four-Door Car,Medsize
California,29874.74493,Extended,Master,Employed,F,52651,Single,94,34,20,2,Personal Auto,Offer3,Call Center,451.2,Two-Door Car,Small
California,4723.449803,Basic,Bachelor,Employed,F,29193,Married,61,0,47,9,Corporate Auto,Offer3,Branch,292.8,Four-Door Car,Medsize
Arizona,10484.91535,Extended,College,Employed,F,61108,Divorced,89,22,93,2,Personal Auto,Offer2,Agent,49.451117,Four-Door Car,Medsize
Nevada,2802.621642,Basic,Bachelor,Employed,F,34628,Married,71,21,31,1,Personal Auto,Offer2,Branch,132.517983,Four-Door Car,Medsize
Washington,6727.617003,Extended,Bachelor,Employed,F,39428,Married,84,19,80,8,Personal Auto,Offer2,Branch,72.32926,Two-Door Car,Large
California,5264.642009,Basic,College,Unemployed,F,0,Divorced,72,30,26,8,Special Auto,Offer1,Branch,135.888306,Four-Door Car,Medsize
Washington,4705.589393,Extended,Bachelor,Unemployed,F,0,Single,78,21,23,3,Corporate Auto,Offer4,Agent,555.457674,Four-Door Car,Large
Arizona,5450.573438,Basic,Bachelor,Employed,F,76389,Married,68,5,86,7,Personal Auto,Offer1,Web,262.00129,Four-Door Car,Small
Arizona,8714.922135,Basic,College,Unemployed,F,0,Divorced,118,14,64,4,Personal Auto,Offer1,Agent,566.4,SUV,Medsize
Nevada,3352.943699,Extended,Master,Employed,F,55359,Married,83,28,73,1,Special Auto,Offer4,Branch,303.331178,Four-Door Car,Large
Nevada,5017.851448,Basic,Master,Employed,F,79814,Married,62,18,50,3,Personal Auto,Offer4,Branch,31.553152,Four-Door Car,Medsize
Arizona,2753.159194,Basic,Bachelor,Employed,F,75277,Married,70,2,48,1,Corporate Auto,Offer2,Agent,459.743736,Two-Door Car,Medsize
California,4867.378203,Basic,Doctor,Disabled,F,20123,Married,63,7,47,3,Personal Auto,Offer2,Call Center,302.4,Four-Door Car,Medsize
California,5095.439821,Extended,Bachelor,Unemployed,F,0,Married,137,19,30,1,Personal Auto,Offer1,Web,452.295175,SUV,Medsize
California,2510.633216,Basic,Doctor,Unemployed,F,0,Married,64,24,1,1,Corporate Auto,Offer4,Branch,437.184112,Four-Door Car,Large
Washington,11618.55713,Premium,College,Employed,F,27750,Married,297,28,25,1,Personal Auto,Offer1,Branch,1425.6,Luxury Car,Medsize
California,4879.442929,Basic,Bachelor,Employed,F,58580,Married,61,5,53,3,Personal Auto,Offer1,Agent,292.8,Four-Door Car,Medsize
Arizona,4766.940473,Basic,Bachelor,Medical Leave,F,29177,Married,64,5,20,5,Personal Auto,Offer1,Call Center,307.2,Four-Door Car,Large
Washington,3747.060981,Basic,College,Unemployed,F,0,Single,107,17,81,1,Personal Auto,Offer1,Call Center,549.986128,SUV,Medsize
California,3821.819872,Extended,College,Employed,F,79189,Married,95,20,50,1,Corporate Auto,Offer2,Branch,50.171541,Two-Door Car,Small
