ID,Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts
5524,1960,Graduation,Single,58138,635,88,546
2174,1960,Graduation,Single,46344,11,1,6
4047,1960,PhD,Married,65324,384,0,102
1409,1960,Graduation,Together,40689,270,3,27
10738,1960,Master,Single,49389,40,0,19
8430,1960,Graduation,Together,21994,9,0,6
7281,1960,PhD,Single,,81,11,50
7244,1960,Graduation,Single,,48,5,48
6566,1960,PhD,Married,72550,826,50,317
6260,1960,Master,Together,82384,984,51,432
1012,1960,Graduation,Single,61823,523,7,134
4477,1960,Graduation,Together,69096,247,49,159
1402,1960,Master,Married,66991,496,36,460
6312,1960,Graduation,Married,65031,258,107,291
1050,1960,Graduation,Married,28332,14,10,13
5268,1960,Graduation,Married,29440,17,8,14
4452,1960,Graduation,Single,50388,292,6,37
8996,1960,PhD,Married,,230,42,192
9235,1960,Graduation,Single,,7,0,8
4646,1960,2n Cycle,Married,78497,207,26,447
1473,1960,2n Cycle,Single,47823,53,1,5
1016,1960,PhD,Single,34554,41,1,6
8908,1960,Graduation,Married,87195,217,76,690
10991,1960,Master,Married,89058,454,194,106
9805,1960,Master,Together,56129,320,48,133
3381,1960,Master,Married,54348,70,0,16
11051,1960,PhD,Together,77376,492,19,110
8026,1960,Graduation,Married,62998,120,58,73
9579,1960,PhD,Married,33762,53,1,34
3830,1960,Master,Married,59354,295,21,78
7055,1960,PhD,Together,61010,888,0,57
3025,1960,Graduation,Single,49967,212,6,69
2730,1960,Graduation,Single,80317,536,11,387
2795,1960,Master,Single,30523,5,0,3
3152,1960,Graduation,Together,26091,15,10,19
1880,1960,PhD,Together,53537,81,0,6
10492,1960,Graduation,Together,38285,2,0,5
6935,1960,2n Cycle,Married,78497,207,26,447
9938,1960,Graduation,Married,80067,519,17,813
6422,1960,Graduation,Married,86718,344,189,482
2677,1960,Graduation,Together,46097,72,24,68
6521,1960,Graduation,Together,77972,613,22,319
9617,1960,Graduation,Single,15033,0,4,5
9449,1960,PhD,Single,79761,415,5,124
9940,1960,Graduation,Together,64961,382,114,276
6439,1960,Graduation,Married,61074,789,0,133
9265,1960,Graduation,Married,75027,925,64,179
2227,1960,2n Cycle,Together,26490,45,47,52
3153,1960,PhD,Single,40737,11,0,4
2387,1960,Master,Together,43776,177,2,71
2379,1960,Graduation,Single,69267,778,44,499
6336,1960,Graduation,Married,29315,13,2,14
3445,1960,Graduation,Single,60714,216,162,224
10983,1960,Graduation,Together,75278,304,98,230
8148,1960,Master,Together,50898,285,28,242
2926,1960,Master,Together,55951,1241,0,80
5596,1960,2n Cycle,Together,58821,513,14,154
231,1960,Master,Together,28839,24,0,7
113,1960,Graduation,Married,30833,11,0,7
2607,1960,Graduation,Single,40464,424,17,118
7214,1960,Graduation,Married,62187,792,0,275
10675,1960,PhD,Married,66334,909,11,218
2579,1960,Graduation,Married,71113,495,33,255
2061,1960,Graduation,Married,50737,78,0,11
7274,1960,Graduation,Married,78618,736,163,818
5125,1960,Graduation,Married,79530,333,0,815
6202,1960,Graduation,Together,63381,571,50,142
615,1960,Graduation,Together,30507,65,36,74
2552,1960,PhD,Single,55521,416,0,26
7030,1960,PhD,Married,66465,1200,0,204
7284,1960,Graduation,Married,48686,10,0,7
9347,1960,Master,Together,50943,31,0,7
1142,1960,PhD,Married,55707,208,7,82
2276,1960,Graduation,Single,57959,430,16,322
7540,1960,Graduation,Married,50300,143,15,60
7999,1960,PhD,Together,75261,1239,17,413
9697,1960,Graduation,Married,53790,335,42,127
178,1960,Graduation,Married,62503,478,0,193
9286,1960,Master,Together,83151,407,28,100
3403,1960,PhD,Together,78952,1170,19,594
10965,1960,Graduation,Together,76005,983,20,389
10160,1960,Master,Together,50943,31,0,7
6036,1960,Master,Together,89120,1168,92,408
4607,1960,Graduation,Together,71367,227,23,389
4943,1960,Graduation,Married,70503,1379,33,216
4322,1960,PhD,Together,77863,881,38,319
3281,1960,PhD,Married,49154,206,10,67
10741,1960,Master,Together,47352,172,12,112
11096,1960,2n Cycle,Together,57247,99,4,32
8692,1960,Graduation,Together,43462,90,17,97
3174,1960,Graduation,Together,87771,1492,38,287
891,1960,Master,Together,29298,6,0,2
5253,1960,Master,Together,54603,145,13,46
5314,1960,Graduation,Together,40689,270,3,27
5123,1960,Master,Married,27450,37,12,23
254,1960,Graduation,Together,53863,399,4,30
4179,1960,Graduation,Together,24221,8,9,9
2453,1960,Graduation,Together,62807,526,28,135
7972,1960,Graduation,Single,72906,400,32,519
10862,1960,Master,Married,30522,179,8,83
6583,1960,2n Cycle,Married,72635,390,22,323
4299,1960,Graduation,Together,70971,1001,17,572
9624,1960,PhD,Together,65488,603,45,207
4376,1960,2n Cycle,Single,32218,10,24,15
6945,1960,Graduation,Single,84574,387,20,713
3856,1960,Graduation,Together,63381,571,50,142
10928,1960,Graduation,Together,66886,315,4,62
4248,1960,Master,Single,98777,1000,19,711
2564,1960,Graduation,Together,61278,111,3,28
946,1960,2n Cycle,Together,26490,45,47,52
8162,1960,Master,Together,14661,4,1,11
10826,1960,Graduation,Married,18690,6,1,7
10120,1960,Graduation,Together,38946,116,6,82
450,1960,Master,Together,42315,67,15,80
9316,1960,Basic,Together,13084,2,0,7
1277,1960,Graduation,Together,78468,434,22,388
1044,1960,Graduation,Together,58398,299,5,201
1463,1960,Graduation,Single,45160,8,2,5
4990,1960,Graduation,Married,59111,524,0,134
6086,1960,Graduation,Married,80395,445,25,706
610,1960,PhD,Together,53593,349,4,78
6255,1960,Master,Together,70545,138,39,63
5682,1960,PhD,Single,64108,948,10,86
7458,1960,Master,Together,34941,39,2,25
3560,1960,Graduation,Together,83844,901,31,345
4073,1960,2n Cycle,Married,63564,769,80,252
7938,1960,PhD,Together,51518,350,8,66
6488,1960,PhD,Married,38829,76,0,7
4508,1960,Graduation,Single,75127,203,35,305
221,1960,Graduation,Married,48726,138,3,38
8786,1960,Master,Married,62058,301,7,74
