Name,Country,count,Overall_Score,Rank,A_Score,B_Score,C_Score,Time,PlaceCat,Region,Event,Gender,B_Score_Cat,A_Ded_Cnt,Nandu_Miss,Nandu_Total,Nandu_Completed
Yaowen Zhang,CHN,1,9.71,1,5,2.71,2,129,Gold,China,Qiangshu,M,Superior,0,0,9,100%
Weng Son Wong,MAS,1,9.66,2,5,2.66,2,138,Top10,Asia,Qiangshu,M,Superior,0,0,10,100%
Wai Kin Yeap,MAS,1,9.64,3,5,2.64,2,133,Top10,Asia,Qiangshu,M,Superior,0,0,12,100%
Pavel Muratov,RUS,1,9.62,4,5,2.62,2,128,Top10,Russia,Qiangshu,M,Superior,0,0,12,100%
Muhammad Daffa Golden Boy,INA,1,9.52,5,5,2.62,1.9,140,Top10,Asia,Qiangshu,M,Superior,0,1,12,92%
Tomoya Okawa,JPN,1,9.51,6,4.9,2.61,2,144,Top10,Asia,Qiangshu,M,Superior,1,0,12,100%
Zhe Xuan Etienne Lee,SGP,1,9.5,7,4.9,2.6,2,136,Top10,Asia,Qiangshu,M,Superior,1,0,12,100%
Erwein Wijayanto,INA,1,9.42,9,4.8,2.62,2,129,Top10,Asia,Qiangshu,M,Superior,2,0,12,100%
Chi Kuan Song,MAC,1,9.1,12,4.8,2.55,1.75,131,Top20,Asia,Qiangshu,M,Superior,2,1,10,90%
Benoit Denolle,FRA,1,9.01,13,4.7,2.31,2,138,Top20,Europe,Qiangshu,M,Average,3,0,12,100%
Christophe Huynh,GER,1,9,14,4.6,2.4,2,137,Top20,Europe,Qiangshu,M,Average,4,0,12,100%
Davide Demaria,ITA,1,8.97,15,4.7,2.27,2,137,Top20,Europe,Qiangshu,M,Average,3,0,12,100%
Dan Rio Rodriguez,ESP,1,8.33,19,4.4,2.18,1.75,132,Top20,Europe,Qiangshu,M,Average,6,2,12,83%
Yonghyun Lee,KOR,1,9.7,1,5,2.7,2,127,Gold,Asia,Gunshu ,M,Superior,0,0,12,100%
Achmad Hulaefi,INA,1,9.68,2,5,2.68,2,125,Top10,Asia,Gunshu ,M,Superior,0,0,12,100%
Chen Ming Wang,TPE,1,9.67,3,5,2.67,2,134,Top10,Asia,Gunshu ,M,Superior,0,0,12,100%
Hibiki Betto,JPN,1,9.66,4,5,2.66,2,130,Top10,Asia,Gunshu ,M,Superior,0,0,12,100%
Hasung Lee,KOR,1,9.65,5,5,2.65,2,128,Top10,Asia,Gunshu ,M,Superior,0,0,12,100%
Tsz Hong Lau,HKG,1,9.62,6,5,2.62,2,128,Top10,Asia,Gunshu ,M,Superior,0,0,12,100%
Sergey Badrutdinov,RUS,1,9.59,7,4.9,2.69,2,129,Top10,Russia,Gunshu ,M,Superior,1,0,11,100%
Illias Khusnutdinov,RUS,1,9.59,8,4.9,2.69,2,130,Top10,Russia,Gunshu ,M,Superior,1,0,11,100%
Yi Xiang Yong,SGP,1,9.57,9,4.9,2.67,2,132,Top10,Asia,Gunshu ,M,Superior,1,0,12,100%
Xuan Hiep Tran,VIE,1,9.54,11,4.9,2.64,2,124,Top20,Asia,Gunshu ,M,Superior,1,0,10,100%
Norlence Ardee Catolico,PHI,1,9.46,14,4.9,2.56,2,128,Top20,Asia,Gunshu ,M,Superior,1,0,12,100%
Domenico Giordano,ITA,1,9.33,16,4.8,2.53,2,134,Top20,Europe,Gunshu ,M,Superior,2,0,12,100%
Si Wei Jowen,SGP,1,9.32,17,4.7,2.62,2,133,Top20,Asia,Gunshu ,M,Superior,1,0,12,100%
Nok In Wu,MAC,1,9.26,19,4.9,2.66,1.7,128,Top20,Asia,Gunshu ,M,Superior,1,2,12,83%
Vladimir Maksimov,RUS,1,9.23,20,4.7,2.68,1.85,136,Top20,Russia,Gunshu ,M,Superior,3,1,11,91%
Edgar Xavier Marvelo,INA,1,9.2,22,4.8,2.65,1.75,130,Top30,Asia,Gunshu ,M,Superior,2,2,11,82%
Nicolas Oursel,FRA,1,9.16,24,4.9,2.41,1.85,138,Top30,Europe,Gunshu ,M,Average,1,1,12,92%
