Max Horizontal Resolution,Memory Technology,Installed Memory,Processor Speed,Processor,Manufacturer,Infrared,Bluetooth,Docking Station,Port Replicator,Fingerprint,Subwoofer,External Battery,CDMA,Operating System,Warranty-Days,Price
1200,DDR2,512,1830,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,94999
800,DDR2,1000,2000,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,99995
800,DDR2,1000,2000,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,108580
800,DDR2,1000,2160,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,108999
800,DDR2,512,2000,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,119999
800,DDR2,1000,2000,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,124999
800,DDR2,512,1830,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,129999
800,DDR2,1000,2160,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,134995
800,DDR2,512,2000,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,154999
900,DDR2,2000,2200,Intel Core,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,188399
900,DDR2,2000,2330,Intel Core,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,189900
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,53900
768,SDRAM,250,933,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,55900
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,56900
768,DDR-SDRAM_(DDRRAM),256,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,57900
768,DDR-SDRAM_(DDRRAM),256,867,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,57900
768,DDR-SDRAM_(DDRRAM),256,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,59900
768,DDR-SDRAM_(DDRRAM),256,1200,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,64900
768,DDR-SDRAM_(DDRRAM),512,1330,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,65900
854,DDR-SDRAM_(DDRRAM),256,867,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,67900
768,DDR-SDRAM_(DDRRAM),256,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,72999
768,DDR-SDRAM_(DDRRAM),512,1000,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,74995
768,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,77900
768,DDR-SDRAM_(DDRRAM),512,1250,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,79900
768,DDR-SDRAM_(DDRRAM),512,1420,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,79900
960,DDR2,512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,94900
900,DDR-SDRAM_(DDRRAM),512,1330,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,102900
900,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,NO,NO,NO,NO,NO,NO,NO,Mac_OS,365,107500
768,DDR-SDRAM_(DDRRAM),512,1500,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,112999
900,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,129500
1050,DDR2,512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,139900
854,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,189336
854,DDR-SDRAM_(DDRRAM),512,1670,PowerPC,Apple,NO,YES,NO,NO,NO,NO,NO,NO,Mac_OS,365,189336
768,DDR2,512,1730,Intel Celeron,Lenovo,NO,NO,NO,NO,NO,NO,NO,NO,Vista,365,59999
720,DDR2,1000,2000,Intel Core,Asus,NO,YES,NO,NO,NO,NO,NO,NO,Vista,720,128199
800,DDR2,1500,2200,Intel Core,Asus,NO,YES,NO,NO,NO,NO,NO,NO,Vista,720,151832
